year,code,age_range,males,females,other
1996,ABB,0-4,635,0,
1996,ABB,5-14,1438,0,
1996,ABB,15-19,462,0,
1996,ABB,20-24,347,0,
1996,ABB,25-34,2842,0,
1996,ABB,35-44,0,0,
1996,ABB,45-54,511,0,
1996,ABB,55-64,212,0,
1996,ABB,65-74,146,0,
1996,ABB,75+,0,0,
1996,ACA,0-4,571,0,
1996,ACA,5-14,1096,0,
1996,ACA,15-19,565,0,
1996,ACA,20-24,857,0,
1996,ACA,25-34,3887,0,
1996,ACA,35-44,0,0,
1996,ACA,45-54,1294,0,
1996,ACA,55-64,1260,0,
1996,ACA,65-74,1418,0,
1996,ACA,75+,0,0,
1996,ALB,0-4,553,0,
1996,ALB,5-14,877,0,
1996,ALB,15-19,341,0,
1996,ALB,20-24,553,0,
1996,ALB,25-34,2375,0,
1996,ALB,35-44,0,0,
1996,ALB,45-54,660,0,
1996,ALB,55-64,450,0,
1996,ALB,65-74,538,0,
1996,ALB,75+,0,0,
1996,ALT,0-4,564,0,
1996,ALT,5-14,832,0,
1996,ALT,15-19,257,0,
1996,ALT,20-24,548,0,
1996,ALT,25-34,2934,0,
1996,ALT,35-44,0,0,
1996,ALT,45-54,504,0,
1996,ALT,55-64,330,0,
1996,ALT,65-74,690,0,
1996,ALT,75+,0,0,
1996,APP,0-4,335,0,
1996,APP,5-14,521,0,
1996,APP,15-19,224,0,
1996,APP,20-24,241,0,
1996,APP,25-34,1358,0,
1996,APP,35-44,0,0,
1996,APP,45-54,320,0,
1996,APP,55-64,115,0,
1996,APP,65-74,83,0,
1996,APP,75+,0,0,
1996,ARB,0-4,227,0,
1996,ARB,5-14,372,0,
1996,ARB,15-19,205,0,
1996,ARB,20-24,156,0,
1996,ARB,25-34,1091,0,
1996,ARB,35-44,0,0,
1996,ARB,45-54,426,0,
1996,ARB,55-64,273,0,
1996,ARB,65-74,401,0,
1996,ARB,75+,0,0,
1996,BDO,0-4,72,0,
1996,BDO,5-14,144,0,
1996,BDO,15-19,72,0,
1996,BDO,20-24,69,0,
1996,BDO,25-34,387,0,
1996,BDO,35-44,0,0,
1996,BDO,45-54,202,0,
1996,BDO,55-64,69,0,
1996,BDO,65-74,53,0,
1996,BDO,75+,0,0,
1996,BED,0-4,1115,0,
1996,BED,5-14,2430,0,
1996,BED,15-19,858,0,
1996,BED,20-24,755,0,
1996,BED,25-34,5241,0,
1996,BED,35-44,0,0,
1996,BED,45-54,1511,0,
1996,BED,55-64,593,0,
1996,BED,65-74,513,0,
1996,BED,75+,0,0,
1996,BEL,0-4,27,0,
1996,BEL,5-14,85,0,
1996,BEL,15-19,32,0,
1996,BEL,20-24,24,0,
1996,BEL,25-34,95,0,
1996,BEL,35-44,0,0,
1996,BEL,45-54,73,0,
1996,BEL,55-64,57,0,
1996,BEL,65-74,93,0,
1996,BEL,75+,0,0,
1996,BNF,0-4,155,0,
1996,BNF,5-14,241,0,
1996,BNF,15-19,128,0,
1996,BNF,20-24,560,0,
1996,BNF,25-34,1231,0,
1996,BNF,35-44,0,0,
1996,BNF,45-54,250,0,
1996,BNF,55-64,186,0,
1996,BNF,65-74,619,0,
1996,BNF,75+,0,0,
1996,BNK,0-4,188,0,
1996,BNK,5-14,175,0,
1996,BNK,15-19,145,0,
1996,BNK,20-24,786,0,
1996,BNK,25-34,2749,0,
1996,BNK,35-44,0,0,
1996,BNK,45-54,395,0,
1996,BNK,55-64,185,0,
1996,BNK,65-74,263,0,
1996,BNK,75+,0,0,
1996,BOW,0-4,865,0,
1996,BOW,5-14,1600,0,
1996,BOW,15-19,724,0,
1996,BOW,20-24,924,0,
1996,BOW,25-34,4439,0,
1996,BOW,35-44,0,0,
1996,BOW,45-54,1380,0,
1996,BOW,55-64,847,0,
1996,BOW,65-74,1310,0,
1996,BOW,75+,0,0,
1996,BRA,0-4,441,0,
1996,BRA,5-14,955,0,
1996,BRA,15-19,477,0,
1996,BRA,20-24,468,0,
