community,total_population,median_age_proxy,gender_ratio,total_crimes,crime_rate,business_count,business_diversity,avg_building_cost,permit_count,housing_mix
01B,2762.0,38.80536575864227,0.9991634367870398,25.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
01F,2762.0,38.80536575864227,0.9991634367870398,11.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
01I,2762.0,38.80536575864227,0.9991634367870398,1.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
01K,2762.0,38.80536575864227,0.9991634367870398,87.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
02B,2762.0,38.80536575864227,0.9991634367870398,3.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
02C,2762.0,38.80536575864227,0.9991634367870398,21.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
02E,2762.0,38.80536575864227,0.9991634367870398,473.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
02F,2762.0,38.80536575864227,0.9991634367870398,29.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
02K,2762.0,38.80536575864227,0.9991634367870398,6.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
02L,2762.0,38.80536575864227,0.9991634367870398,1.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
03W,2762.0,38.80536575864227,0.9991634367870398,26.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
05D,2762.0,38.80536575864227,0.9991634367870398,24.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
05F,2762.0,38.80536575864227,0.9991634367870398,12.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
06A,2762.0,38.80536575864227,0.9991634367870398,12.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
06B,2762.0,38.80536575864227,0.9991634367870398,5.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
06C,2762.0,38.80536575864227,0.9991634367870398,2.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
09H,2762.0,38.80536575864227,0.9991634367870398,9.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
09K,2762.0,38.80536575864227,0.9991634367870398,43.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
09O,2762.0,38.80536575864227,0.9991634367870398,83.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
09P,2762.0,38.80536575864227,0.9991634367870398,22.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
09Q,2762.0,38.80536575864227,0.9991634367870398,63.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
10D,2762.0,38.80536575864227,0.9991634367870398,20.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
10E,2762.0,38.80536575864227,0.9991634367870398,130.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
12A,2762.0,38.80536575864227,0.9991634367870398,359.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
12B,2762.0,38.80536575864227,0.9991634367870398,24.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
12C,2762.0,38.80536575864227,0.9991634367870398,6.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
12I,2762.0,38.80536575864227,0.9991634367870398,4.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
12J,2762.0,38.80536575864227,0.9991634367870398,88.0,0.0,36.0,21.5,207562.03252331127,96.0,8.0
